input,response
중고 물품 입증자료,세관 심사 결과 세관측으로 부터 중고물품 입증자료 제출 요청이 있습니다. 당사 메일로 자료 첨부 후 회신 부탁 드립니다 express@wscustoms.co.kr
상용의심 관련 문의 ex) 상용의심관련 문자를 받았어요. 설명을 듣고 싶어요.,"상용의심 관련 문자는 세관에서 목록접수 되었다가 상용의심(판매 및 선물, 나눔)목적으로 취하 되었기에 자가사용 인정이 안돼서 문자 발송이 된 것입니다. 따라서 상용의심(판매 및 선물, 나눔) 목적이 아닌 자가사용 목적이라면 사유서 및 구매내역서, 결제내역서를 보내 주시면 세관에 제출 하도록 하겠습니다. 다만 제출 후에도 세관에서 인정이 안되면 과세로 진행 되어지오니 참고 부탁 드립니다. express@wscustoms.co.kr"
세관 검사 문의 ex) 검사는 왜 걸린건가요?,세관 검사의 경우 신고 후 세관에서 랜덤으로 걸리기 때문에 정확한 답변이 어렵습니다.
세관 검사 시점 ex) 세관 검사는 언제 되나요?,세관 검사는 세관측으로 검사서류 제출 기점 으로 부터 세관 창고에서 검사 물품 확보 된 후 진행 되어집니다.
세관 검사 처리 ex) 세관 검사 처리는 언제 끝나나요?  ,해당 검사 물품을 세관이 확보 및 개봉 검사 진행 후 특이사항 없을 시 당일 처리가 완료 됩니다.
원산지 미국인데 왜 협정적용안되어있죠? ,"협정은 따로 요청해주시지 않으면 적용이 되지않습니다. 현품에 원산지확인 가능한 사진 또는 상품페이지, 원산지증명서 전달주시면 확인하여 정정진행하겠습니다.
"
원산지 중국인데 왜 협정적용안되어있죠? ,"협정은 따로 요청해주시지 않으면 적용이 되지않습니다. 현품에 원산지확인 가능한 사진 또는 상품페이지, 원산지증명서 전달주시면 확인하여 정정진행하겠습니다.
"
사업자통관으로 변경하고싶어요 ,"개인명의와 대표명의 같을 경우 
수하인정정 필요없이 바로 사업자신고가능: 대표일경우 사업자등록증받아서 신고 

개인명의와 대표명의 다를 경우 
수하인정정승인 완료 후 사업자신고가능: 직원일경우 (사업자등록증, 재직증명서 ,결제내역, 주문내역, 카드앞뒷면 )

** 수리후에는 실물카드 필수제출"
국내에서 판매하고있는 제품인데 왜 금지성분인가요? ,"국내에서 판매하는 제품은 정식승인을 받아 판매하고 있는제품이며,
관세법상 식약처금지성분으로 지정되어있는 성분은 의사소견서를 제출해야지 통관가능합니다.  "
그전에는 통관됬던 제품인데 왜 금지성분으로 걸린거죠?,그전에는 어떻게 통관이 됬는지 확인할수없습니다. 현재 구입하신제품은 금지성분이 포함되어있어 통관불가능한 제품이 맞습니다. 
의사소견서 제출기한이 어떻게 되나요?,"정해진기한은 따로 없지만, 두달이내로 제출해주시는것이 좋습니다."
소견서 제출했는데 언제 통관되나요?,소견서 제출기준으로 주말제외 2-3일 정도 후에 출고됩니다.
소견서 어떤식으로 작성해야하나요? / 어디로 보내야하나요? ,"모든 병원에서 작성해주는 소견서 가능( 한의원, 치과등) 

소견서상 ( 상기환자는 ㅇㅇ의 사유로 ㅇㅇ의 성분을 섭취하는것을 권장합니다 라는식의 소견서) * 안내받은 금지성분명 필수 기재 

소견서상 환자성함과 수하인명과 일치해야 하며 , 불일치시는 가족관계증명서등 추가제출
"
아직 입국전이라 출입국증명서 발급이 안되는데요 ,이사화물 신고는 이사화물당사자가 입국한 상태에서 신고가능합니다. 최종입국일이 확인되는 출입국증명서 제출부탁드립니다.
가족이 대신 받아주는 화물이라서 입국자와 성명이 달라요 ,"수하인정정 후 이사화물로 신고가능하며, 
이사화물 서류 외에 수하인정정사유서 가족관계증명서 제출부탁드립니다. "
주소지변경요청,"주소지변경은 관세사에서 불가능합니다. 
특송업체로 요청 안내"
직접 물건을 찾으로 오고싶어요 ,"출고관련은 특송업체로 연락하여 픽업요청하시면 됩니다. 
"
세금 납부하고 물품이 도착했는데 주문한 물품과 다른 물품을 받았어요.,판매처에 반품 신청 완료 후 당사 메일로 운송장 번호 및 수하인 기재하시어 회신 주시면 수입관련 서류 및 환급 매뉴얼 전달 드리겠습니다. (express@wscustoms.co.kr)
"건강기능식품, 의약품 수량초과 / 저는 6개 구입했는데 수량초과로 안내받았어요",주문내역과 결제내역 전달주시면 확인해보겠습니다. 
